Address,Final Clearance Date,Alderman
"1510 South 37th Street, Milwaukee, Wisconsin 53215",08-21-2018,8
"934 South 35th Street, Milwaukee, Wisconsin 53215",07-26-2018,8
"2112 West Grant Street A, Milwaukee, Wisconsin 53215",01-24-2018,8
"2112 West Grant Street, Milwaukee, Wisconsin 53215",01-24-2018,8
"2110 West Grant Street A, Milwaukee, Wisconsin 53215",01-24-2018,8
"2110 West Grant Street, Milwaukee, Wisconsin 53215",01-24-2018,8
"1500 South 22nd Street, Milwaukee, Wisconsin 53204",01-05-2018,8
"1548 South 22nd Street, Milwaukee, Wisconsin 53204",11-15-2018,8
"2008 South 34th Street, Milwaukee, Wisconsin 53215",10-31-2018,8
"3013 West Pierce Street, Milwaukee, Wisconsin 53215",01-05-2018,8
"2926 West Lincoln Avenue, Milwaukee, Wisconsin 53215",07-24-2018,8
"3902 West Orchard Street A, Milwaukee, Wisconsin 53215",07-03-2018,8
"3902 West Orchard Street, Milwaukee, Wisconsin 53215",07-03-2018,8
"3711 West National Avenue A, Milwaukee, Wisconsin 53215",11-01-2018,8
"1012 South 32nd Street, Milwaukee, Wisconsin 53215",12-03-2018,8
"3212 West National Avenue, Milwaukee, Wisconsin 53215",06-07-2019,8
"1534 South Layton Boulevard A, Milwaukee, Wisconsin 53215",06-04-2019,8
"2070 South 35th Street, Milwaukee, Wisconsin 53215",08-20-2018,8
"1502 South 22nd Street, Milwaukee, Wisconsin 53204",01-05-2018,8
"1430 South 32nd Street, Milwaukee, Wisconsin 53215",05-17-2019,8
"2728 West Hayes Avenue A, Milwaukee, Wisconsin 53215",08-27-2018,8
"5734 North 58th Street, Milwaukee, Wisconsin 53218",10-04-2021,9
"2528 West Locust Street, Milwaukee, Wisconsin 53206",06-15-2021,9
"6704 North 89th Street, Milwaukee, Wisconsin 53224",11-20-2020,9
"5680 North 60th Street, Milwaukee, Wisconsin 53218",09-23-2019,9
"6660 North 60th Street, Milwaukee, Wisconsin 53223",10-01-2018,9
"8827 West Clovernook Court, Milwaukee, Wisconsin 53224",07-20-2018,9
"3060 North 59th Street, Milwaukee, Wisconsin 53210",03-23-2022,10
"2840 North 54th Street, Milwaukee, Wisconsin 53210",09-29-2021,10
"3062 North 59th Street, Milwaukee, Wisconsin 53210",04-14-2022,10
"2562 North 53rd Street, Milwaukee, Wisconsin 53210",07-30-2020,10
"2609 North 58th Street, Milwaukee, Wisconsin 53210",02-03-2022,10
"7502 West Vienna Court, Milwaukee, Wisconsin 53216",02-10-2022,10
"220 North 37th Street, Milwaukee, Wisconsin 53208",09-24-2021,10
"2814 North 55th Street, Milwaukee, Wisconsin 53210",07-08-2021,10
"2668 North 54th Street, Milwaukee, Wisconsin 53210",01-10-2020,10
"7240 West Burleigh Street 1, Milwaukee, Wisconsin 53210",11-21-2019,10
"5630 West Townsend Street, Milwaukee, Wisconsin 53216",12-09-2020,10
"3418 North 56th Street, Milwaukee, Wisconsin 53216",11-30-2020,10
"2978 North 60th Street, Milwaukee, Wisconsin 53210",12-08-2020,10
"2634 North 60th Street, Milwaukee, Wisconsin 53210",05-15-2019,10
"1735 North 47th Street, Milwaukee, Wisconsin 53208",10-07-2019,10
"3012 North 57th Street, Milwaukee, Wisconsin 53210",04-10-2019,10
"6320 West Richmond Avenue, Milwaukee, Wisconsin 53210",01-02-2020,10
"230 North 37th Street, Milwaukee, Wisconsin 53208",07-24-2018,10
"2775 North 56th Street, Milwaukee, Wisconsin 53210",12-10-2018,10
"2979 North 53rd Street, Milwaukee, Wisconsin 53210",12-17-2019,10
"2929 North 56th Street, Milwaukee, Wisconsin 53210",12-03-2019,10
"2844 North 56th Street, Milwaukee, Wisconsin 53210",06-27-2019,10
"3433 North 57th Street, Milwaukee, Wisconsin 53216",12-04-2019,10
"2348 North 57th Street, Milwaukee, Wisconsin 53210",09-07-2018,10
"3712 West Mount Vernon Avenue, Milwaukee, Wisconsin 53208",01-17-2018,10
"3030 North 53rd Street, Milwaukee, Wisconsin 53210",09-06-2018,10
"3028 North 53rd Street, Milwaukee, Wisconsin 53210",08-30-2018,10
"232 North 37th Street, Milwaukee, Wisconsin 53208",07-24-2018,10
"2857 North 53rd Street, Milwaukee, Wisconsin 53210",07-31-2018,10
"1422 North 48th Street, Milwaukee, Wisconsin 53208",11-07-2019,10
"2832 North 52nd Street, Milwaukee, Wisconsin 53210",12-18-2019,10
"3009 North 66th Street, Milwaukee, Wisconsin 53210",04-08-2019,10
"2962 North 54th Street, Milwaukee, Wisconsin 53210",01-03-2018,10
"2960 North 54th Street, Milwaukee, Wisconsin 53210",01-03-2018,10
"2634 North 60th Street A, Milwaukee, Wisconsin 53210",05-15-2019,10
"5909 West St Paul Avenue, Milwaukee, Wisconsin 53213",02-15-2018,10
"1420 North 48th Street, Milwaukee, Wisconsin 53208",07-11-2019,10
"2859 North 53rd Street, Milwaukee, Wisconsin 53210",08-31-2018,10
"2861 North 53rd Street, Milwaukee, Wisconsin 53210",08-31-2018,10
"4815 West Oklahoma Avenue 4, Milwaukee, Wisconsin 53219",04-09-2019,11
"4815 West Oklahoma Avenue 2, Milwaukee, Wisconsin 53219",04-09-2019,11
"4815 West Oklahoma Avenue 3, Milwaukee, Wisconsin 53219",04-09-2019,11
"4815 West Oklahoma Avenue 1, Milwaukee, Wisconsin 53219",04-09-2019,11
"1557 West Walker Street, Milwaukee, Wisconsin 53204",07-12-2022,12
"2208 South 15th Place, Milwaukee, Wisconsin 53215",07-01-2022,12
"2237a South 14th Street, Milwaukee, Wisconsin 53215",05-24-2022,12
"2237 South 14th Street, Milwaukee, Wisconsin 53215",05-24-2022,12
"1510 West Scott Street, Milwaukee, Wisconsin 53204",02-28-2022,12
"1579 South Cesar E Chavez Drive Upper, Milwaukee, Wisconsin 53204",04-12-2022,12
"1107 West Scott Street, Milwaukee, Wisconsin 53204",02-25-2022,12
"824 West Hayes Avenue, Milwaukee, Wisconsin 53215",10-25-2021,12
"1125 West Mineral Street, Milwaukee, Wisconsin 53204",11-15-2021,12
"1246 South 17th Street, Milwaukee, Wisconsin 53204",09-30-2021,12
"2255 South 15th Street, Milwaukee, Wisconsin 53215",08-27-2021,12
"2013 South 15th Street, Milwaukee, Wisconsin 53204",09-14-2021,12
"1222 South 18th Street A, Milwaukee, Wisconsin 53204",12-17-2019,12
"1228 West Greenfield Avenue, Milwaukee, Wisconsin 53204",06-17-2021,12
"2234 South 7th Street, Milwaukee, Wisconsin 53215",05-05-2020,12
"2342 South 9th Place, Milwaukee, Wisconsin 53215",04-13-2021,12
"1654 South 3rd Street, Milwaukee, Wisconsin 53204",06-17-2021,12
"2028 South 12th Street, Milwaukee, Wisconsin 53204",03-30-2021,12
"1554 West Walker Street, Milwaukee, Wisconsin 53204",02-01-2021,12
"830 West Madison Street, Milwaukee, Wisconsin 53204",08-19-2020,12
"2104 South 7th Street, Milwaukee, Wisconsin 53215",08-24-2020,12
"1700 West Mineral Street, Milwaukee, Wisconsin 53204",08-11-2020,12
"2068 South 13th Street, Milwaukee, Wisconsin 53204",05-11-2021,12
"2042 South 16th Street, Milwaukee, Wisconsin 53204",02-02-2021,12
"2239 South 18th Street, Milwaukee, Wisconsin 53215",04-13-2021,12
"1823 South 18th Street, Milwaukee, Wisconsin 53204",09-03-2020,12
"412 South 4th Street, Milwaukee, Wisconsin 53204",03-11-2021,12
"1319 West Washington Street, Milwaukee, Wisconsin 53204",02-18-2021,12
"632 South 10th Street, Milwaukee, Wisconsin 53204",10-16-2020,12
"1624 West Mineral Street, Milwaukee, Wisconsin 53204",09-26-2019,12
"1306 South 18th Street, Milwaukee, Wisconsin 53204",09-25-2020,12
"1971 South 15th Place, Milwaukee, Wisconsin 53204",07-16-2020,12
"2058 South 13th Street, Milwaukee, Wisconsin 53204",11-26-2019,12
"1333 West Scott Street, Milwaukee, Wisconsin 53204",02-19-2020,12
"514 West Orchard Street, Milwaukee, Wisconsin 53204",08-23-2019,12
"1978 South 16th Street, Milwaukee, Wisconsin 53204",08-20-2019,12
"1976 South 16th Street, Milwaukee, Wisconsin 53204",08-20-2019,12
"1546 South 4th Street, Milwaukee, Wisconsin 53204",06-07-2019,12
"1436 West Mineral Street, Milwaukee, Wisconsin 53204",02-25-2019,12
"1434 West Mineral Street, Milwaukee, Wisconsin 53204",02-25-2019,12
"2554 South 12th Street, Milwaukee, Wisconsin 53215",12-19-2019,12
"2009 South 15th Street, Milwaukee, Wisconsin 53204",05-24-2019,12
"2246 South 11th Street, Milwaukee, Wisconsin 53215",04-06-2018,12
"2211 South 6th Street, Milwaukee, Wisconsin 53215",12-10-2018,12
"2118 South 15th Street, Milwaukee, Wisconsin 53215",09-12-2018,12
"2345 South 9th Place, Milwaukee, Wisconsin 53215",04-25-2019,12
"1735 South 15th Place, Milwaukee, Wisconsin 53204",02-01-2018,12
"2337 South 12th Street A, Milwaukee, Wisconsin 53215",10-02-2018,12
"918 South 19th Street, Milwaukee, Wisconsin 53204",12-08-2018,12
"916 South 19th Street, Milwaukee, Wisconsin 53204",01-08-2018,12
"2337 South 12th Street, Milwaukee, Wisconsin 53215",10-02-2018,12
"1732 West Washington Street, Milwaukee, Wisconsin 53204",09-28-2018,12
"2120 South 14th Street, Milwaukee, Wisconsin 53215",07-16-2019,12
"2357 South 11th Street, Milwaukee, Wisconsin 53215",01-26-2018,12
"2537 South 14th Street, Milwaukee, Wisconsin 53215",10-11-2019,12
"2537 South 14th Street A, Milwaukee, Wisconsin 53215",10-11-2019,12
"1933 South 5th Street, Milwaukee, Wisconsin 53204",12-20-2019,12
"2248 South 17th Street A, Milwaukee, Wisconsin 53215",08-19-2019,12
"1709 South 3rd Street, Milwaukee, Wisconsin 53204",08-02-2019,12
"1312 West Harrison Avenue A, Milwaukee, Wisconsin 53215",02-12-2019,12
"1312 West Harrison Avenue, Milwaukee, Wisconsin 53215",11-16-2018,12
"932 West Pierce Street, Milwaukee, Wisconsin 53204",03-21-2019,12
"934 West Pierce Street, Milwaukee, Wisconsin 53204",03-21-2019,12
"1622 South 17th Street, Milwaukee, Wisconsin 53204",09-09-2019,12
"1017 West Maple Street, Milwaukee, Wisconsin 53204",01-09-2018,12
"1017 West Maple Street A, Milwaukee, Wisconsin 53204",01-09-2018,12
"1929 South 12th Street, Milwaukee, Wisconsin 53204",01-29-2018,12
"1019 South 19th Street, Milwaukee, Wisconsin 53204",09-29-2019,12
"1707 South 3rd Street, Milwaukee, Wisconsin 53204",08-02-2019,12
"1577 South 3rd Street, Milwaukee, Wisconsin 53204",08-05-2019,12
"3135A South 18th Street, Milwaukee, Wisconsin 53215",06-14-2022,13
"2332 West Bolivar Avenue, Milwaukee, Wisconsin 53221",08-31-2021,13
"1911 West Plainfield Avenue, Milwaukee, Wisconsin 53221",08-16-2018,13
"2542 South 7th Street, Milwaukee, Wisconsin 53215",05-17-2022,14
"3576 South Quincy Avenue, Milwaukee, Wisconsin 53207",01-19-2022,14
"131 East Oklahoma Ave Apt 3, Milwaukee, Wisconsin 53207",07-21-2021,14
"3459 South Howell Avenue 17202, Milwaukee, Wisconsin 53207",05-28-2021,14
"2438 South 9th Place A, Milwaukee, Wisconsin 53215",12-09-2021,14
"2438 South 9th Place, Milwaukee, Wisconsin 53215",12-09-2021,14
"2519 South 6th Street UPPER , Milwaukee, Wisconsin 53215",09-17-2021,14
"2519 South 6th Street, Milwaukee, Wisconsin 53215",09-17-2021,14
"3338 South 12th Street A, Milwaukee, Wisconsin 53215",07-29-2021,14
"2219 South 5th Street, Milwaukee, Wisconsin 53207",07-10-2021,14
"515 East Howard Avenue, Milwaukee, Wisconsin 53207",09-23-2020,14
"3443 S 9th St, Milwaukee, Wisconsin 53215",03-22-2021,14
"2545 South 6th Street 3, Milwaukee, Wisconsin 53215",10-17-2019,14
"2685 South 7th Street A, Milwaukee, Wisconsin 53215",05-13-2020,14
"2525 South Logan Avenue, Milwaukee, Wisconsin 53207",04-01-2020,14
"2715 South 12th Street, Milwaukee, Wisconsin 53215",04-24-2018,14
"2427 South 8th Street, Milwaukee, Wisconsin 53215",12-20-2019,14
"2632 South 10th Street, Milwaukee, Wisconsin 53215",08-14-2019,14
"2429 South 5th Street, Milwaukee, Wisconsin 53207",08-05-2019,14
"2130 South 6th Street, Milwaukee, Wisconsin 53215",10-01-2018,14
"2347 North 47th Street, Milwaukee, Wisconsin 53210",06-13-2022,15
"2483 West Cypress Street, Milwaukee, Wisconsin 53206",03-29-2022,15
"2628 North 10th Street, Milwaukee, Wisconsin 53206",04-18-2022,15
"2455 North 45th Street, Milwaukee, Wisconsin 53210",04-26-2022,15
"2572 North 41st Street, Milwaukee, Wisconsin 53210",01-05-2022,15
"2713 North 8th Street, Milwaukee, Wisconsin 53206",03-04-2022,15
"2320 West Center Street, Milwaukee, Wisconsin 53206",12-21-2021,15
"2550 North 24th Street B, Milwaukee, Wisconsin 53206",03-04-2022,15
"4315 West Lisbon Avenue #29, Milwaukee, Wisconsin 53208",11-26-2019,15
"2319 North 40th Street, Milwaukee, Wisconsin 53210",02-15-2022,15
"2411 North 34th Street, Milwaukee, Wisconsin 53210",02-03-2022,15
"2058 North 28th Street, Milwaukee, Wisconsin 53208",01-28-2022,15
"2557 North 19th Street, Milwaukee, Wisconsin 53215",11-11-2021,15
"2555 North 19th Street, Milwaukee, Wisconsin 53206",11-11-2021,15
"1342 North 40th Street, Milwaukee, Wisconsin 53208",01-04-2022,15
"2210 North 17th Street A, Milwaukee, Wisconsin 53205",10-22-2021,15
"2208 North 17th Street, Milwaukee, Wisconsin 53205",10-29-2021,15
"1636 North 36th Street, Milwaukee, Wisconsin 53208",11-15-2021,15
"1634 North 36th Street, Milwaukee, Wisconsin 53208",11-15-2021,15
"2300 West Cherry Street, Milwaukee, Wisconsin 53205",08-18-2021,15
"2508 North 51st Street, Milwaukee, Wisconsin 53210",10-15-2021,15
"1520 North 34th Street, Milwaukee, Wisconsin 53208",09-08-2021,15
"1518 North 34th Street, Milwaukee, Wisconsin 53208",09-08-2021,15
"2232 North 44th Street, Milwaukee, Wisconsin 53208",03-23-2020,15
"2802 North 41st Street, Milwaukee, Wisconsin 53210",07-29-2021,15
"1427 North 34th Street, Milwaukee, Wisconsin 53208",04-16-2020,15
"2467 North 50th Street, Milwaukee, Wisconsin 53210",12-23-2020,15
"1341 West Brown Street, Milwaukee, Wisconsin 53205",08-24-2020,15
"2542 North 23rd Street, Milwaukee, Wisconsin 53206",08-02-2021,15
"2748 North 20th Street, Milwaukee, Wisconsin 53206",08-02-2021,15
"2028 North 35th Street, Milwaukee, Wisconsin 53208",01-11-2021,15
"1327 West Albany Place, Milwaukee, Wisconsin 53206",03-05-2021,15
"2834 North 37th Street, Milwaukee, Wisconsin 53210",07-02-2021,15
"3810 West Galena Street, Milwaukee, Wisconsin 53208",02-24-2021,15
"2814 North 38th Street, Milwaukee, Wisconsin 53210",06-02-2021,15
"2321 North 40th Street, Milwaukee, Wisconsin 53210",06-02-2021,15
"2166 North 49th Street, Milwaukee, Wisconsin 53208",12-21-2020,15
"2841 North 38th Street, Milwaukee, Wisconsin 53210",07-20-2018,15
"2803 North 28th Street, Milwaukee, Wisconsin 53210",02-27-2020,15
"2168 North 42nd Street, Milwaukee, Wisconsin 53208",05-15-2020,15
"1637 North 24th Street A, Milwaukee, Wisconsin 53205",05-05-2020,15
"1447 North 37th Street, Milwaukee, Wisconsin 53208",01-23-2020,15
"2027 North 22nd Street, Milwaukee, Wisconsin 53205",03-15-2021,15
"1345 West Hadley Street A, Milwaukee, Wisconsin 53206",09-10-2020,15
"1724 North 32nd Street, Milwaukee, Wisconsin 53208",10-09-2019,15
"1942 North 18th Street A, Milwaukee, Wisconsin 53205",05-01-2020,15
"2630 North 49th Street, Milwaukee, Wisconsin 53210",02-06-2020,15
"2471 North 8th Street A, Milwaukee, Wisconsin 53206",12-02-2020,15
"2428 North 48th Street, Milwaukee, Wisconsin 53210",09-03-2019,15
"2740 North 12th Street, Milwaukee, Wisconsin 53206",10-26-2020,15
"1449 North 37th Street, Milwaukee, Wisconsin 53208",02-20-2020,15
"1533 North 29th Street, Milwaukee, Wisconsin 53208",12-11-2019,15
"2509 North 45th Street, Milwaukee, Wisconsin 53210",12-06-2019,15
"2725 North 10th Street, Milwaukee, Wisconsin 53206",08-18-2020,15
"3827 West Roberts Street, Milwaukee, Wisconsin 53208",03-04-2020,15
"2538 North 51st Street, Milwaukee, Wisconsin 53210",11-19-2018,15
"2309 West Cherry Street, Milwaukee, Wisconsin 53205",01-26-2018,15
"2037 North 33rd Street, Milwaukee, Wisconsin 53208",02-07-2018,15
"2151 North 38th Street, Milwaukee, Wisconsin 53208",02-28-2018,15
"1337 North 36th Street, Milwaukee, Wisconsin 53208",06-19-2018,15
"2750 North 38th Street, Milwaukee, Wisconsin 53210",06-21-2019,15
"4728 West Garfield Avenue, Milwaukee, Wisconsin 53208",09-16-2019,15
"2315 West Galena Street, Milwaukee, Wisconsin 53205",08-02-2019,15
"2315 West Galena Street A, Milwaukee, Wisconsin 53205",08-02-2019,15
"2538 North 10th Street, Milwaukee, Wisconsin 53206",01-15-2019,15
"1627 North 32nd Street, Milwaukee, Wisconsin 53208",04-10-2019,15
"1315 North 38th Street, Milwaukee, Wisconsin 53208",09-20-2019,15
"1313 North 38th Street, Milwaukee, Wisconsin 53208",09-20-2019,15
"2872 North 26th Street, Milwaukee, Wisconsin",09-20-2019,15
"2857 North 26th Street, Milwaukee, Wisconsin 53206",04-27-2018,15
"2357 North 46th Street, Milwaukee, Wisconsin 53210",10-15-2018,15
"2502 West Vine Street, Milwaukee, Wisconsin 53205",01-09-2018,15
"3835 North 10th Street, Milwaukee, Wisconsin 53206",10-26-2018,15
"2472 West Lloyd Street, Milwaukee, Wisconsin 53205",02-09-2018,15
"2750 North 35th Street A, Milwaukee, Wisconsin 53210",01-24-2018,15
"2750 North 35th Street, Milwaukee, Wisconsin 53210",01-24-2018,15
"2222 North 14th Street, Milwaukee, Wisconsin 53205",11-07-2018,15
"2222 North 14th Street B, Milwaukee, Wisconsin 53205",11-07-2018,15
"2222 North 14th Street C, Milwaukee, Wisconsin 53205",11-07-2018,15
"2444 North 51st Street, Milwaukee, Wisconsin 53210",06-04-2018,15
"2321 North 11th Street, Milwaukee, Wisconsin 53206",01-30-2018,15
"4502 West Lloyd Street, Milwaukee, Wisconsin 53208",08-24-2018,15
"2337 North 47th Street, Milwaukee, Wisconsin 53210",01-18-2019,15
"2408 North 41st Street, Milwaukee, Wisconsin 53210",04-10-2019,15
"2778 North 34th Street, Milwaukee, Wisconsin 53210",07-30-2019,15
"2543 North 22nd Street, Milwaukee, Wisconsin 53206",11-07-2019,15
"2442 North 51st Street, Milwaukee, Wisconsin 53210",06-04-2018,15
"2003 North 34th Street, Milwaukee, Wisconsin 53208",10-01-2019,15
"4518 West Lloyd Street, Milwaukee, Wisconsin 53208",07-09-2018,15
"2331 North 47th Street, Milwaukee, Wisconsin 53210",04-10-2019,15
"2646 North 45th Street, Milwaukee, Wisconsin 53210",05-22-2019,15
"2852 North 40th Street, Milwaukee, Wisconsin 53210",01-16-2019,15
